Compound_Id	CpdClass	Smiles
410420	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c(n(Cc2ccccc2)c2ccccc12)C3
410421	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2c(Cl)ccc(Cl)c12)C3
410422	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2ccc(Oc4ccccc4)cc12)C3
410423	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2ccc4ccccc4c12)C3
410424	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2c1ccc1ccccc12)C3
410425	S-I-opened	COc1ccc2c(c1O)[C@@]13CCN(C)[C@@H](C2)[C@H]1Cc1c([nH]c2ccc(OC(C)C)cc12)C3
408582	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccccc34)C[C@H]1C)C2=O
408590	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(C)cc34)C[C@H]1C)C2=O
408595	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(C(C)C)cc34)C[C@H]1C)C2=O
408592	G-I-1	COc1ccc2[nH]c3c(c2c1)C[C@@]1(Oc2c(Cl)c(OC)cc(OC)c2C1=O)[C@H](C)C3
409680	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(Oc5ccccc5)cc34)C[C@H]1C)C2=O
409685	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(OC(C)C)cc34)C[C@H]1C)C2=O
409076	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(OCc5ccccc5)cc34)C[C@H]1C)C2=O
409683	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(-c5ccccc5)cc34)C[C@H]1C)C2=O
409697	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(I)cc34)C[C@H]1C)C2=O
408579	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(Cl)cc34)C[C@H]1C)C2=O
409080	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(F)cc34)C[C@H]1C)C2=O
408647	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc(OC(F)(F)F)cc34)C[C@H]1C)C2=O
408594	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(C)cccc34)C[C@H]1C)C2=O
408597	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(C)cc(C)cc34)C[C@H]1C)C2=O
408598	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(C)ccc(C)c34)C[C@H]1C)C2=O
408601	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(C)c(C)ccc34)C[C@H]1C)C2=O
408646	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4cc(C)cc(C)c34)C[C@H]1C)C2=O
408600	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(F)cc(F)cc34)C[C@H]1C)C2=O
408604	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(C)ccc(F)c34)C[C@H]1C)C2=O
409059	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4cc(F)cc(F)c34)C[C@H]1C)C2=O
409071	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(F)ccc(F)c34)C[C@H]1C)C2=O
409072	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4cc(Cl)cc(Cl)c34)C[C@H]1C)C2=O
409686	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(Cl)ccc(F)c34)C[C@H]1C)C2=O
409688	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(F)ccc(Br)c34)C[C@H]1C)C2=O
409689	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(F)cc(Cl)cc34)C[C@H]1C)C2=O
409691	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(F)cc(Br)cc34)C[C@H]1C)C2=O
409695	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c(F)cc(Br)c(F)c34)C[C@H]1C)C2=O
409078	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4c3ccc3ccccc34)C[C@H]1C)C2=O
409682	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c([nH]c4ccc5ccccc5c34)C[C@H]1C)C2=O
408599	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c(n(-c4ccccc4)c4ccccc34)C[C@H]1C)C2=O
408603	G-I-1	COc1cc(OC)c2c(c1Cl)O[C@@]1(Cc3c(n(Cc4ccccc4)c4ccccc34)C[C@H]1C)C2=O
408583	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccccc4c3[C@H]1C)C2=O
408591	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(C)cc4c3[C@H]1C)C2=O
408596	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(C(C)C)cc4c3[C@H]1C)C2=O
409681	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(Oc5ccccc5)cc4c3[C@H]1C)C2=O
409673	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(OC(C)C)cc4c3[C@H]1C)C2=O
409684	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(-c5ccccc5)cc4c3[C@H]1C)C2=O
409045	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(Cl)cc4c3[C@H]1C)C2=O
409081	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(F)cc4c3[C@H]1C)C2=O
408648	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(OC(F)(F)F)cc4c3[C@H]1C)C2=O
409694	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4ccc(C(F)(F)F)cc4c3[C@H]1C)C2=O
408602	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4c(C)c(C)ccc4c3[C@H]1C)C2=O
409058	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4c(C)ccc(F)c4c3[C@H]1C)C2=O
409060	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4cc(F)cc(F)c4c3[C@H]1C)C2=O
409073	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4cc(Cl)cc(Cl)c4c3[C@H]1C)C2=O
409687	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4c(Cl)ccc(F)c4c3[C@H]1C)C2=O
409690	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4c(F)cc(Cl)cc4c3[C@H]1C)C2=O
409692	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4c(F)cc(Br)cc4c3[C@H]1C)C2=O
409696	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4c(F)cc(Br)c(F)c4c3[C@H]1C)C2=O
409079	G-I-2	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCc3[nH]c4c(ccc5ccccc54)c3[C@H]1C)C2=O
408746	G-THPI	COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3ccccc13)C2=O
412366	G-THPI	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCC3(C[C@H]1C)OCCc1c3[nH]c3cccc(C)c13)C2=O
412367	G-THPI	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCC3(C[C@H]1C)OCCc1c3[nH]c3cccc(Cl)c13)C2=O
409966	G-THPI	COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3ccc(C)cc13)C2=O
412368	G-THPI	COc1ccc2[nH]c3c(c2c1)CCOC31CC[C@@]2(Oc3c(Cl)c(OC)cc(OC)c3C2=O)[C@H](C)C1
412369	G-THPI	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCC3(C[C@H]1C)OCCc1c3[nH]c3ccc(Br)cc13)C2=O
412370	G-THPI	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCC3(C[C@H]1C)OCCc1c3[nH]c3ccc(Cl)cc13)C2=O
412371	G-THPI	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCC3(C[C@H]1C)OCCc1c3[nH]c3ccc(F)cc13)C2=O
412372	G-THPI	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCC3(C[C@H]1C)OCCc1c3[nH]c3cc(C(C)C)ccc13)C2=O
412373	G-THPI	COc1cc(OC)c2c(c1Cl)O[C@@]1(CCC3(C[C@H]1C)OCCc1c3[nH]c3cc(Cl)ccc13)C2=O
412374	G-THPI	CCc1cccc2c3c([nH]c12)C1(CC[C@@]2(Oc4c(Cl)c(OC)cc(OC)c4C2=O)[C@H](C)C1)OCC3
